id,feature_name,feature_type,lon,lat
8659,E Edenton St at N East St,Bus Stop,-78.6321057761155,35.7810262964857
8668,Rex Hospital (Inbound),Bus Stop,-78.7047300294461,35.8168947426656
8684,Creedmoor Rd at Tall Timber Dr,Bus Stop,-78.6802051741799,35.8506461267431
8700,Creedmoor Rd at Jeffery's Grove School,Bus Stop,-78.6806362667016,35.8655193074133
8713,W Millbrook Rd at Paces Forest Ct (EB),Bus Stop,-78.6683899997605,35.8572199990884
8721,E Millbrook Rd at Edgewood Dr,Bus Stop,-78.6336699999433,35.8517300000615
8722,E Millbrook Rd at Flint Ridge Pl,Bus Stop,-78.6290200002325,35.851429999561
8724,E Millbrook Rd at Quail Meadows Dr,Bus Stop,-78.6194299994842,35.8505299992587
8733,E Millbrook Rd at Green Rd (EB),Bus Stop,-78.5870151314833,35.8492911290089
8737,New Hope Rd at Tapers Dr,Bus Stop,-78.5747399208237,35.8471942788393
8740,Calvary Dr at Capital Blvd,Bus Stop,-78.5805694543167,35.8446918270065
8742,E Millbrook Rd at Green Rd (WB),Bus Stop,-78.5880341336292,35.8494028552592
8748,E Millbrook Rd at Cedarhurst Dr,Bus Stop,-78.6125400003068,35.8504000000292
8753,E Millbrook Rd at Knollwood Dr,Bus Stop,-78.6334899991199,35.852209999812
8755,E Millbrook Rd at Burnlee Pl,Bus Stop,-78.6401099997573,35.8559100004405
8763,Old Wake Forest Rd at Ruritania St,Bus Stop,-78.5834473097373,35.8697891865636
8777,W Millbrook Rd at Dixon Dr,Bus Stop,-78.6501860088371,35.8564790407951
8785,Six Forks Rd at Sandy Forks Rd,Bus Stop,-78.6378264930848,35.8617198456288
8788,Six Forks Rd at Wind Chime Ct,Bus Stop,-78.6434473452424,35.873703125018
8797,Six Forks Rd at Monument Ln,Bus Stop,-78.6489556295116,35.8929574954884
8808,Six Forks Rd at Woods Ream Dr,Bus Stop,-78.6387482013972,35.8678199564592
8820,Blount St at City Farm Rd,Bus Stop,-78.6376289023499,35.759968768485
8825,McCauley St at McLendon St,Bus Stop,-78.6411690002895,35.7652400003038
8831,Maywood Ave at S Saunders St,Bus Stop,-78.6498708259366,35.7608346958792
8834,Maywood Ave at Lake Wheeler Rd,Bus Stop,-78.6594108057948,35.7615588111541
8836,Lake Wheeler Rd at Daladams St,Bus Stop,-78.6555560001634,35.7645610005404
8837,Lake Wheeler Rd at Fuller St,Bus Stop,-78.6504953499934,35.7679447457261
8848,Oberlin Rd at Fairview Rd,Bus Stop,-78.6552759997809,35.8085509995856
8856,Oberlin Rd at Chester Rd,Bus Stop,-78.659448307763,35.8011497040553
8857,Oberlin Rd at Mayview Rd,Bus Stop,-78.6603840118275,35.7968311153092
8861,Cameron St at Daniels St,Bus Stop,-78.661573000378,35.7908400002283
8866,S State St at Peterson St (SB),Bus Stop,-78.6244936392474,35.7611150780039
